cod_municipio,municipio_nome,uf,ano,area_plantada_ha,quantidade_produzida_ton,rendimento_medio_kg_ha
5000252,Alcinópolis,MS,2017,4620.0,30780.0,6662.0
5000609,Amambai,MS,2017,45000.0,248400.0,5520.0
5000708,Anastácio,MS,2017,4550.0,16320.0,3587.0
5000807,Anaurilândia,MS,2017,8050.0,43450.0,5398.0
5000856,Angélica,MS,2017,2800.0,14000.0,5000.0
5000906,Antônio João,MS,2017,20000.0,102000.0,5100.0
5001003,Aparecida do Taboado,MS,2017,24.0,151.0,6292.0
5001102,Aquidauana,MS,2017,70.0,168.0,2400.0
5001243,Aral Moreira,MS,2017,75500.0,409200.0,5420.0
5001508,Bandeirantes,MS,2017,25270.0,121863.0,4822.0
5001904,Bataguassu,MS,2017,3639.0,20131.0,5532.0
5002001,Batayporã,MS,2017,14300.0,70540.0,4985.0
5002100,Bela Vista,MS,2017,20100.0,94138.0,4683.0
5002159,Bodoquena,MS,2017,2240.0,10590.0,4728.0
5002209,Bonito,MS,2017,32000.0,96000.0,3000.0
5002308,Brasilândia,MS,2017,620.0,4668.0,7529.0
5002407,Caarapó,MS,2017,85236.0,461379.0,5413.0
5002605,Camapuã,MS,2017,5733.0,26717.0,4660.0
5002704,Campo Grande,MS,2017,30300.0,154260.0,5091.0
5002803,Caracol,MS,2017,1815.0,6957.0,3833.0
5002902,Cassilândia,MS,2017,3100.0,23880.0,7703.0
5002951,Chapadão do Sul,MS,2017,40000.0,288000.0,7200.0
5003157,Coronel Sapucaia,MS,2017,8000.0,35775.0,4500.0
5003207,Corumbá,MS,2017,160.0,384.0,2400.0
5003256,Costa Rica,MS,2017,39000.0,253200.0,6492.0
5003306,Coxim,MS,2017,8500.0,51000.0,6000.0
5003454,Deodápolis,MS,2017,7650.0,41310.0,5400.0
5003488,Dois Irmãos do Buriti,MS,2017,6100.0,29040.0,4761.0
5003504,Douradina,MS,2017,12000.0,75600.0,6300.0
5003702,Dourados,MS,2017,145000.0,783000.0,5400.0
5003751,Eldorado,MS,2017,8145.0,32827.0,4030.0
5003801,Fátima do Sul,MS,2017,10000.0,58440.0,5951.0
5004007,Glória de Dourados,MS,2017,1500.0,5580.0,3720.0
5004106,Guia Lopes da Laguna,MS,2017,15240.0,68153.0,4472.0
5004304,Iguatemi,MS,2017,6134.0,25804.0,4207.0
5004502,Itaporã,MS,2017,76500.0,504900.0,6600.0
5004601,Itaquiraí,MS,2017,36620.0,165348.0,4515.0
5004700,Ivinhema,MS,2017,12000.0,60000.0,5000.0
5004809,Japorã,MS,2017,2148.0,9036.0,4207.0
5004908,Jaraguari,MS,2017,6000.0,27000.0,4500.0
