"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Cód.","Município","Ano x Produto das lavouras temporárias e permanentes"
"Cód.","Município","2017","2018","2019","2020","2021","2022","2023"
"Cód.","Município","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)","Milho (em grão)"
"5000203","Água Clara (MS)","-","-","-","-","342","120","-"
"5000252","Alcinópolis (MS)","4620","4680","6824","7400","7400","7400","7500"
"5000609","Amambai (MS)","45000","45000","46000","46000","65000","70000","70000"
"5000708","Anastácio (MS)","4550","4950","4950","4107","7230","8617","9885"
"5000807","Anaurilândia (MS)","8050","12250","9080","7500","8500","6500","8000"
"5000856","Angélica (MS)","2800","4100","4900","5000","8400","10500","10500"
"5000906","Antônio João (MS)","20000","17000","23000","21000","30000","22000","32000"
"5001003","Aparecida do Taboado (MS)","24","-","-","-","-","-","-"
"5001102","Aquidauana (MS)","70","-","20","-","50","150","60"
"5001243","Aral Moreira (MS)","75500","70000","78090","78090","75000","90000","82000"
"5001508","Bandeirantes (MS)","25270","25180","25600","17978","21600","25182","23487"
"5001904","Bataguassu (MS)","3639","3805","5393","4492","4728","5931","7107"
"5002001","Batayporã (MS)","14300","17100","17800","19300","18000","18100","12000"
"5002100","Bela Vista (MS)","20100","21000","23060","25350","26000","22000","22500"
"5002159","Bodoquena (MS)","2240","2680","2680","3080","3958","4030","4180"
"5002209","Bonito (MS)","32000","32250","25052","30500","34610","45000","45000"
"5002308","Brasilândia (MS)","620","513","620","723","622","639","20"
"5002407","Caarapó (MS)","85236","82150","82000","85000","88000","90000","96000"
"5002605","Camapuã (MS)","5733","5340","10000","4232","5050","5056","5056"
"5002704","Campo Grande (MS)","30300","30100","43400","34200","60000","60230","50380"
"5002803","Caracol (MS)","1815","1610","1200","1846","2500","10000","9000"
"5002902","Cassilândia (MS)","3100","2400","14377","14377","10000","10000","4000"
"5002951","Chapadão do Sul (MS)","40000","34000","34000","34000","34073","49500","56500"
"5003108","Corguinho (MS)","-","-","-","-","-","-","50"
"5003157","Coronel Sapucaia (MS)","8000","8020","8030","8010","10010","10306","10886"
"5003207","Corumbá (MS)","160","1381","1330","1440","1610","2611","2200"
"5003256","Costa Rica (MS)","39000","42030","43000","46915","47000","50400","50100"
"5003306","Coxim (MS)","8500","7030","7900","8500","9720","10140","10498"
"5003454","Deodápolis (MS)","7650","10000","10000","9000","9000","12000","12200"
"5003488","Dois Irmãos do Buriti (MS)","6100","6100","6050","10106","11031","13390","13840"
"5003504","Douradina (MS)","12000","12000","13000","13030","14030","14175","13731"
"5003702","Dourados (MS)","145000","145000","145000","145000","170000","190000","186200"
"5003751","Eldorado (MS)","8145","11000","9500","5000","10000","10030","10000"
"5003801","Fátima do Sul (MS)","10000","12000","10000","10000","10000","12040","13040"
"5003900","Figueirão (MS)","-","-","-","-","-","-","415"
"5004007","Glória de Dourados (MS)","1500","1500","1500","2764","2000","3610","3610"
"5004106","Guia Lopes da Laguna (MS)","15240","13500","15000","13000","15200","14600","16287"
"5004304","Iguatemi (MS)","6134","6200","5500","9000","32000","32000","32000"
"5004403","Inocência (MS)","-","250","60","60","60","-","-"
"5004502","Itaporã (MS)","76500","76500","76500","76500","70000","89560","86100"
"5004601","Itaquiraí (MS)","36620","25500","28200","25200","42050","42050","42000"
"5004700","Ivinhema (MS)","12000","12000","15000","12600","13700","19000","14000"
"5004809","Japorã (MS)","2148","1900","1124","782","2000","1175","1750"
"5004908","Jaraguari (MS)","6000","6000","8500","5300","7500","8918","10411"
"5005004","Jardim (MS)","8540","8879","10000","10000","11650","22000","22000"
"5005103","Jateí (MS)","16000","16000","18000","18000","18000","28000","26000"
"5005152","Juti (MS)","10000","9000","9505","8004","12004","13000","13000"
"5005202","Ladário (MS)","10","-","5","-","-","-","-"
"5005251","Laguna Carapã (MS)","65000","60000","65000","65000","65000","72000","80500"
"5005400","Maracaju (MS)","225500","250000","250000","250000","250000","280000","290000"
"5005608","Miranda (MS)","4620","7100","2657","2022","3288","2040","2585"
"5005681","Mundo Novo (MS)","4645","4000","3800","3836","4590","4030","3000"
"5005707","Naviraí (MS)","63200","78065","60000","71000","70000","80100","80000"
"5005806","Nioaque (MS)","2100","2100","2020","4394","6305","5980","10280"
"5006002","Nova Alvorada do Sul (MS)","22000","25000","25000","25000","30200","28644","35800"
"5006200","Nova Andradina (MS)","14420","17800","17900","19300","21800","21800","19500"
"5006259","Novo Horizonte do Sul (MS)","5110","5060","8075","8890","8030","8030","8013"
"5006275","Paraíso das Águas (MS)","2800","1000","3100","3100","6495","6495","11995"
"5006309","Paranaíba (MS)","-","150","100","1229","2232","1757","2057"
"5006358","Paranhos (MS)","4000","5000","5000","5000","8000","8640","9107"
"5006408","Pedro Gomes (MS)","2300","1820","1910","1910","4670","5085","4514"
"5006606","Ponta Porã (MS)","140300","160300","172300","165030","165200","185030","190454"
